,dist_code,district,month,sector,investment in cr,number_of_employees
0,19_1,Adilabad,01-04-2019,Engineering,0.625,13
1,19_1,Adilabad,01-04-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",19.3702,99
2,19_1,Adilabad,01-04-2019,Food Processing,0.098,7
3,19_1,Adilabad,01-07-2019,Beverages,0.13,3
4,19_1,Adilabad,01-07-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.73,10
5,19_1,Adilabad,01-07-2019,Food Processing,0.036,0
6,19_1,Adilabad,01-08-2019,Pharmaceuticals and Chemicals,0.06,5
7,19_1,Adilabad,01-08-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.37,10
8,19_1,Adilabad,01-08-2019,Textiles,2.2,20
9,19_1,Adilabad,01-09-2019,Beverages,0.195,3
10,19_1,Adilabad,01-09-2019,Engineering,0.029,3
11,19_1,Adilabad,01-10-2019,Agro based incl Cold Storages,0.08,1
12,19_1,Adilabad,01-10-2019,Beverages,0.09,2
13,19_1,Adilabad,01-10-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.02,10
14,19_1,Adilabad,01-11-2019,Beverages,0.13,3
15,19_1,Adilabad,01-11-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.25,5
16,19_1,Adilabad,01-12-2019,Agro based incl Cold Storages,0.02,4
17,19_1,Adilabad,01-12-2019,Beverages,0.19,12
18,19_1,Adilabad,01-01-2020,Beverages,0.07,6
19,19_1,Adilabad,01-01-2020,Textiles,0.014,0
20,19_1,Adilabad,01-02-2020,Food Processing,0.071,5
21,19_1,Adilabad,01-03-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.17,17
22,19_1,Adilabad,01-03-2020,Food Processing,0.218,20
23,19_1,Adilabad,01-04-2020,Granite and Stone Crushing,0.5,5
24,19_1,Adilabad,01-05-2020,Food Processing,0.02,2
25,19_1,Adilabad,01-05-2020,Plastic and Rubber,0.225,3
26,19_1,Adilabad,01-06-2020,Paper and Printing,0.1,8
27,19_1,Adilabad,01-06-2020,Food Processing,0.038,3
28,19_1,Adilabad,01-07-2020,Textiles,0.1,50
29,19_1,Adilabad,01-07-2020,Granite and Stone Crushing,0.1,9
30,19_1,Adilabad,01-07-2020,Food Processing,0.014,1
31,19_1,Adilabad,01-07-2020,Beverages,0.09,2
32,19_1,Adilabad,01-09-2020,Textiles,0.1,20
33,19_1,Adilabad,01-09-2020,Others,0.063,5
34,19_1,Adilabad,01-09-2020,Food Processing,1.0725,24
35,19_1,Adilabad,01-09-2020,Engineering,0.06,5
36,19_1,Adilabad,01-09-2020,Beverages,0.02,5
37,19_1,Adilabad,01-10-2020,Food Processing,0.543,26
38,19_1,Adilabad,01-10-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.07,8
39,19_1,Adilabad,01-10-2020,Beverages,0.06,3
