,dist_code,district,month,documents_registered_cnt,documents_registered_rev,estamps_challans_cnt,estamps_challans_rev
0,19_1,Adilabad,2019-04-01,1043.0,12672655.0,0.0,0.0
1,19_1,Adilabad,2019-05-01,1092.0,15177385.0,0.0,0.0
2,19_1,Adilabad,2019-06-01,824.0,11443194.0,0.0,0.0
3,19_1,Adilabad,2019-07-01,1186.0,17853370.0,0.0,0.0
4,19_1,Adilabad,2019-08-01,1124.0,14955291.0,0.0,0.0
5,19_1,Adilabad,2019-09-01,801.0,15818167.0,0.0,0.0
6,19_1,Adilabad,2019-10-01,881.0,10277285.0,0.0,0.0
7,19_1,Adilabad,2019-11-01,900.0,14256963.0,0.0,0.0
8,19_1,Adilabad,2019-12-01,1173.0,17703534.0,0.0,0.0
9,19_1,Adilabad,2020-01-01,950.0,14521521.0,0.0,0.0
10,19_1,Adilabad,2020-02-01,1473.0,18929772.0,0.0,0.0
11,19_1,Adilabad,2020-03-01,1105.0,14473096.0,0.0,0.0
12,19_1,Adilabad,2020-04-01,9.0,107295.0,0.0,0.0
13,19_1,Adilabad,2020-05-01,858.0,11400504.0,0.0,0.0
14,19_1,Adilabad,2020-06-01,1655.0,19995210.0,0.0,0.0
15,19_1,Adilabad,2020-07-01,1519.0,17391525.0,0.0,0.0
16,19_1,Adilabad,2020-08-01,1050.0,15949571.0,0.0,0.0
17,19_1,Adilabad,2020-09-01,210.0,3107344.0,0.0,0.0
18,19_1,Adilabad,2020-10-01,2.0,2200.0,0.0,0.0
19,19_1,Adilabad,2020-11-01,1.0,1100.0,0.0,0.0
20,19_1,Adilabad,2020-12-01,371.0,12503383.0,463.0,15525053.0
21,19_1,Adilabad,2021-01-01,1952.0,38551614.0,1967.0,38359371.0
22,19_1,Adilabad,2021-02-01,1386.0,24286523.0,1411.0,22399667.0
23,19_1,Adilabad,2021-03-01,1517.0,24666605.0,1550.0,31751084.0
24,19_1,Adilabad,2021-04-01,959.0,21996377.0,1056.0,16773745.0
25,19_1,Adilabad,2021-05-01,284.0,5482999.0,239.0,5026531.0
26,19_1,Adilabad,2021-06-01,1088.0,17827544.0,2045.0,18942852.0
27,19_1,Adilabad,2021-07-01,954.0,24147947.0,1557.0,23725423.0
28,19_1,Adilabad,2021-08-01,847.0,25608861.0,1014.0,28090487.0
29,19_1,Adilabad,2021-10-01,1297.0,53133516.0,1351.0,53889596.0
30,19_1,Adilabad,2021-11-01,1038.0,27833366.0,1123.0,31049706.0
31,19_1,Adilabad,2021-12-01,1485.0,40220723.0,1535.0,38525942.0
32,19_1,Adilabad,2022-01-01,912.0,34039364.0,1106.0,42235839.0
33,19_1,Adilabad,2022-02-01,1012.0,36168146.0,994.0,29696344.0
34,19_1,Adilabad,2022-03-01,1155.0,37626696.0,1317.0,44640572.0
35,19_1,Adilabad,2022-04-01,762.0,27857363.0,727.0,21849707.0
36,19_1,Adilabad,2022-05-01,763.0,34705198.0,808.0,30146408.0
37,19_1,Adilabad,2022-06-01,893.0,33061858.0,908.0,32457758.0
38,19_1,Adilabad,2022-07-01,684.0,21754906.0,720.0,22687621.0
39,19_1,Adilabad,2022-08-01,619.0,22973172.0,648.0,23303967.0
40,19_1,Adilabad,2022-09-01,961.0,31843177.0,1077.0,33272956.0
41,19_1,Adilabad,2022-10-01,804.0,25801418.0,795.0,26421001.0
42,19_1,Adilabad,2022-11-01,946.0,33759529.0,1038.0,35119462.0
43,19_1,Adilabad,2022-12-01,1212.0,42679882.0,1271.0,43190728.0
44,19_1,Adilabad,2023-01-01,1050.0,36387664.0,1062.0,36546433.0
45,19_1,Adilabad,2023-02-01,1030.0,40576830.0,1098.0,40937396.0
46,19_1,Adilabad,2023-03-01,1388.0,45439848.0,1407.0,44472607.0
47,22_2,Bhadradri Kothagudem,2019-04-01,542.0,12610700.0,0.0,0.0
48,22_2,Bhadradri Kothagudem,2019-05-01,782.0,12779175.0,0.0,0.0
